X,Y,Region,material,Site,Feature Number,Excavation istitute,BP,Error,Type
127.123767,37.523283,서울,Charcoal,서울 몽촌토성(III- 2015~2018 북문지),북문지-통일신라-27-생활면,한성백제박물관,1700,40,신라
127.123767,37.523283,서울,Charcoal,서울 몽촌토성(III- 2015~2018 북문지),북문지-통일신라-27-아궁이,한성백제박물관,1590,30,신라
127.123767,37.523283,서울,Charcoal,서울 몽촌토성(III- 2015~2018 북문지),북문지-통일신라-28,한성백제박물관,1290,40,신라
127.123767,37.523283,서울,Charcoal,서울 몽촌토성(IV-2015~2018 북문지),북문지-백제-2,한성백제박물관,1620,30,呂·凸자형
127.130485,37.561785,서울,Charcoal,서울 암사동,2,경희대학교박물관,2010,60,呂·凸자형
127.1305422,37.557388,서울,Charcoal,서울 암사동,2-통일신라-2,한울문화재연구원,1220,30,신라
127.1305422,37.557388,서울,Charcoal,서울 암사동,2-통일신라-3,한울문화재연구원,1330,30,신라
127.1305422,37.557388,서울,Charcoal,서울 암사동,1-통일신라-2,한울문화재연구원,1240,30,신라
127.1305422,37.557388,서울,Charcoal,서울 암사동,1-미상-42,한울문화재연구원,1430,30,방형
127.122345,37.539382,서울,Charcoal,서울 천호동,6,비전문화유산연구원,1700,40,방형
127.115987,37.53396,서울,Charcoal,서울 풍납토성,나-6,국립문화재연구원,1647,32,呂·凸자형
127.115987,37.53396,서울,Charcoal,서울 풍납토성,가-3  ,국립문화재연구원,1686,39,呂·凸자형
127.115987,37.53396,서울,Charcoal,서울 풍납토성,나-18 ,국립문화재연구원,1690,40,呂·凸자형
